Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-618-2000","2000-09-09 00:00:00","65278","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Second","Land","Residential","450000","1393.55","1393.55","","","","Sharaf Dg Metro Station","Mall of the Emirates","Sports City Swimming Academy","1","1","",""
"11-619-2000","2000-09-10 00:00:00","33696","Sales","Sale","Ready","Non Free Hold","Commercial","Al Buteen","Land","Commercial","7500000","392.98","392.98","","","","Al Ras Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-62-2000","2000-02-05 00:00:00","63330","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah Second","Land","Residential","6800000","2090.32","2090.32","","","","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-620-2000","2000-09-11 00:00:00","83857","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","2530000","2136.77","2136.77","","","","","","","1","1","",""
"11-621-2000","2000-09-11 00:00:00","25420","Sales","Sale","Ready","Non Free Hold","Residential","Al Baraha","Land","Residential","1230000","233.19","233.19","","","","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","1","1","",""
"11-622-2000","2000-09-13 00:00:00","28223","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","300000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-623-2000","2000-09-16 00:00:00","39944","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz East","Land","Residential","1100000","794.32","794.32","","","","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-624-2000","2000-09-16 00:00:00","60825","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar","Land","Residential","330000","929.03","929.03","","","","","","","1","1","",""
"11-625-2000","2000-09-16 00:00:00","28595","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","815000","696.77","696.77","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-626-2000","2000-09-17 00:00:00","51057","Sales","Sale","Ready","Non Free Hold","Residential","Al Karama","Land","Residential","1320000","232.26","232.26","","","","ADCB Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
