Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-9745-2022","2022-05-11 09:29:03","153333728","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","795000","77.47","77.47","1 B/R","2","G-143","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","2","","BELGRAVIA III"
"11-9746-2022","2022-05-11 09:29:56","309793866","Sales","Sale","Ready","Free Hold","Residential","Jabal Ali First","Unit","Flat","550000","62.24","62.24","1 B/R","8","P2-85","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","2","1","",""
"11-9747-2022","2022-05-11 09:31:42","158749683","Sales","Sale","Ready","Free Hold","Residential","Business Bay","Unit","Flat","1460000","137.91","137.91","2 B/R","6","P2-10, P2-30","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","Millennium Binghatti Residences Business Bay "
"11-9748-2022","2022-05-11 09:36:38","153335326","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","930000","75.93","75.93","1 B/R","3","P-43","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","BELGRAVIA III"
"11-9749-2022","2022-05-11 09:37:28","31583205","Sales","Sale","Ready","Free Hold","Residential","Burj Khalifa","Unit","Flat","1700000","84.69","84.69","1 B/R","39","B-59","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","BLVD CRESCENT "
"11-9750-2022","2022-05-11 09:37:58","415593833","Sales","Sale","Ready","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","438095.24","15.75","15.75","Studio","41","P1-19","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","SLS DUBAI"
"11-9751-2022","2022-05-11 09:38:19","12928203","Sales","Sale","Ready","Free Hold","Residential","Al Barshaa South Second","Land","Residential","2825000","235.49","235.49","","","","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Villa Lantana 1"
"11-9752-2022","2022-05-11 09:38:48","5539503","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1150000","59.27","59.27","1 B/R","24","B1-92","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","BAY CENTRAL WEST & CENTRAL TOWERS"
"11-9753-2022","2022-05-11 09:38:52","382002772","Sales","Sale","Ready","Free Hold","Residential","Al Barshaa South Third","Unit","Flat","417000","43.3","43.3","Studio","5","G-67","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","2","",""
"11-9754-2022","2022-05-11 09:42:12","41241391","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","1650000","188.23","188.23","3 B/R","","","","","","1","1","","NOOR TOWNHOUSES"
"11-9755-2022","2022-05-11 09:47:17","137016670","Sales","Sale","Ready","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","255000","32.27","32.27","Studio","4","G-74","","","Expo 2020 Site","1","2","","MAG 5 BOULEVARD"
"11-9756-2022","2022-05-11 09:50:52","25792850","Sales","Sale","Ready","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Building","Villa","3335000","290.41","290.41","4 B/R","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","2","","MAPLE"
"11-9757-2022","2022-05-11 09:53:28","159873","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1892861","227.66","227.66","4 B/R","11","B1-53, B1-54","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-9758-2022","2022-05-11 10:01:14","17648230","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1700000","166.78","166.78","3 B/R","25","P2-53 , P4-55","Dubai Marina","Marina Mall","Burj Al Arab","1","1","","SKY VIEW TOWER"
"11-9759-2022","2022-05-11 10:10:35","30298260","Sales","Sale","Ready","Free Hold","Residential","Business Bay","Unit","Flat","2600000","181.45","181.45","3 B/R","56","L2-298,L2-299","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AL HABTOOR CITY"
"11-9760-2022","2022-05-11 10:11:19","23690340","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 3","Land","Residential","1145000","151.8","151.8","","","","","","Dubai Cycling Course","2","1","","DAMAC HILLS (2) - CENTAURY "
"11-9761-2022","2022-05-11 10:11:33","17766659","Sales","Sale","Ready","Free Hold","Residential","Burj Khalifa","Unit","Hotel Apartment","4300000","134.93","134.93","2 B/R","27","B2-310","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","THE ADDRESS RESIDENCE FOUNTAIN VIEWS II"
"11-9762-2022","2022-05-11 10:12:08","17539554","Sales","Sale","Ready","Free Hold","Residential","Jabal Ali First","Unit","Flat","1250000","158.71","158.71","3 B/R","10","1-50,1-51","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","","Azizi. Liatris"
"11-9763-2022","2022-05-11 10:13:56","288816","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","540000","118.09","118.09","2 B/R","1","P2/A-11","","","IMG World Adventures","1","1","","SKY COURTS"
"11-9764-2022","2022-05-11 10:15:20","172368625","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","1127000","69.79","69.79","1 B/R","38","B4-28","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","","MBL RESIDENCE"
"11-9765-2022","2022-05-11 10:18:42","5865265","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fourth","Unit","Flat","500000","115.48","115.48","2 B/R","3","B-095","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ELITE II SPORTS RESIDENCE"
"11-9765-2022","2022-05-11 10:18:42","5865265","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fourth","Unit","Flat","500000","115.48","115.48","2 B/R","3","B-095","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","ELITE II SPORTS RESIDENCE"
"11-9766-2022","2022-05-11 10:21:43","21311759","Sales","Sale","Ready","Free Hold","Residential","Zaabeel Second","Unit","Flat","4500000","164.93","164.93","3 B/R","29","P7-60, P7-61","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","DOWNTOWN VIEWS"
"11-9767-2022","2022-05-11 10:21:49","17654359","Sales","Sale","Ready","Free Hold","Residential","Al Khairan First","Unit","Flat","1303000","91.14","91.14","1 B/R","10","G-97","Creek Metro Station","Dubai Mall","Dubai International Airport","1","1","","THE DUBAI CREEK RESIDENCES"
"11-9768-2022","2022-05-11 10:21:59","86988","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","9300000","1302.91","1302.91","","","","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-9769-2022","2022-05-11 10:22:39","291038","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","570000","119.53","119.53","2 B/R","15","P1 E 126","","","IMG World Adventures","2","1","","SKY COURTS"
"11-9770-2022","2022-05-11 10:22:50","116240","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fourth","Land","Residential","1900000","240","240","","","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","",""
"11-9771-2022","2022-05-11 10:23:47","274137485","Sales","Sale","Ready","Free Hold","Residential","Al Barshaa South Second","Unit","Flat","674163","75.46","75.46","1 B/R","5","B1-37","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","",""
"11-9772-2022","2022-05-11 10:27:48","4188711","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","2200000","193.88","193.88","Office","35","B2-71 to B2-111","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","BUSINESS AVENUE BB2"
"11-9773-2022","2022-05-11 10:29:27","291287","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","550000","119.53","119.53","2 B/R","5","P2 F 102","","","IMG World Adventures","1","1","","SKY COURTS"
"11-9774-2022","2022-05-11 10:30:26","274138106","Sales","Sale","Ready","Free Hold","Residential","Al Barshaa South Second","Unit","Flat","694469","75.46","75.46","1 B/R","26","P2-22","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","",""
"11-9775-2022","2022-05-11 10:32:16","35275270","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","3450000","105.3","105.3","2 B/R","46","B3-171","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","1","1","","Jumeirah Gate"
"11-9776-2022","2022-05-11 10:32:19","16700353","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 2","Land","Residential","1150000","175.53","175.53","","","","","","Dubai Cycling Course","1","1","","DAMAC HILLS (2) - AMAZONIA"
"11-9777-2022","2022-05-11 10:32:59","290738","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","482500","98.73","98.73","2 B/R","21","B D 140","","","IMG World Adventures","1","1","","SKY COURTS"
"11-9778-2022","2022-05-11 10:35:27","225289","Sales","Sale","Ready","Free Hold","Residential","Burj Khalifa","Unit","Flat","1700000","142.14","142.14","2 B/R","22","L1-386","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-9779-2022","2022-05-11 10:39:02","17969637","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","350000","73.01","73.01","NA","12","DMCC-0084","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","DUBAI STAR"
"11-9780-2022","2022-05-11 10:43:50","5443153","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","792566","140.25","140.25","Office","31","DMCC L1-1116","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","HDS BUSINESS CENTRE"
"11-9781-2022","2022-05-11 10:46:28","5443150","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","562310","104.48","104.48","Office","31","DMCC L1-1115","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","HDS BUSINESS CENTRE"
"11-9782-2022","2022-05-11 10:46:30","5443159","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","558600","103.79","103.79","Office","31","DMCC L1-1118","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","HDS BUSINESS CENTRE"
"11-9783-2022","2022-05-11 10:47:08","415593836","Sales","Sale","Ready","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","438095.24","15.75","15.75","Studio","41","P1-19","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","SLS DUBAI"
"11-9784-2022","2022-05-11 10:47:54","415593839","Sales","Sale","Ready","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","438095.24","15.75","15.75","Studio","41","P1-19","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","SLS DUBAI"
"11-9785-2022","2022-05-11 10:48:47","48508419","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","671000","69.61","69.61","1 B/R","27","P2-68","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","1","","BLOOM HEIGHTS"
"11-9786-2022","2022-05-11 10:50:01","358009563","Sales","Sale","Ready","Free Hold","Residential","Al Barsha South Fifth","Unit","Flat","1400256","139.11","139.11","2 B/R","4","P-35","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","1","","ZaZEN One"
"11-9787-2022","2022-05-11 10:51:06","28339009","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Third","Land","Residential","2200000","272.97","272.97","","","","","","Motor City","1","1","","DAMAC HILLS- PELHAM "
"11-9788-2022","2022-05-11 10:53:57","9587472","Sales","Sale","Ready","Free Hold","Residential","Burj Khalifa","Unit","Flat","1860000","108.83","108.83","2 B/R","24","B2-63","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","DD STAND POINT"
"11-9789-2022","2022-05-11 10:54:06","29622466","Sales","Sale","Ready","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4200000","307.75","307.75","4 B/R","","","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","GRAND VIEWS"
