,X,Y,price_sqf
1351,25.072244145223,55.127074384906,4046.5116279069766
1354,25.071367,55.124955,2673.7959001782533
1357,25.024905409454,55.243723823619,1578.9473684210527
1361,25.072222279941,55.126414561542,4712.939160239932
1364,25.179872616446,55.30527615573,2434.077079107505
1380,25.179394,55.273177,1758.2187134502922
1391,25.193373,55.265283,1747.720364741641
1400,25.027237,55.181465,1058.300518134715
1407,25.184561,55.291356,1836.9028006589783
1409,25.188306,55.266893,4250.0
1410,25.086517,55.147372,2941.176470588235
1417,25.066805,55.141454,1549.2957746478874
1421,25.071367,55.124955,2114.5374449339206
1423,25.137279,55.188912,5684.754521963824
1425,25.195499,55.271766,2459.0163934426228
1433,25.041834352159,55.187401232939,1195.6521739130435
1435,25.041834352159,55.187401232939,1207.970112079701
1441,25.071367,55.124955,2312.1387283236995
1444,25.132434827412,55.151699781418,3384.2070338420704
1445,25.200813681385,55.276276767308,3933.910306845004
1455,25.213962,55.23667,9000.0
1459,25.186663,55.273898,1732.934131736527
1467,25.179394,55.273177,1761.501210653753
1471,25.193638,55.279085,4599.5670995671
1475,25.047331,55.203911,1134.020618556701
1477,25.025002660824,55.243804525646,1290.3225806451612
1485,25.071367,55.124955,2200.347423277359
1489,25.195499,55.271766,5392.156862745098
1491,25.195499,55.271766,6122.448979591837
1502,25.086438,55.147157,1995.2114924181965
1504,25.197167,55.273931,4142.011834319526
1505,25.07238,55.136245,2637.8896882494
1506,25.067073483869,55.203469325513,1264.7058823529412
1509,25.086438,55.147157,2320.441988950276
1519,25.027237,55.181465,1200.5567484662577
1523,25.200813681385,55.276276767308,4422.604422604422
1527,25.067098,55.139762,1383.6948391922217
1543,25.099138,55.141373,4235.294117647059
1553,25.07238,55.136245,1992.03187250996
1565,25.071367,55.124955,2083.333333333333
1573,25.110411842014,55.137446391284,2719.298245614036
1574,25.155928607087,55.253977775574,773.5849056603773
1576,25.147223,55.389554,767.5213675213676
1589,25.087214,55.145463,1969.9140401146128
1604,25.027237,55.181465,983.1460674157302
1607,25.027237,55.181465,944.668016194332
1616,25.027237,55.181465,1078.3048780487804
1628,25.20084,55.342691,2134.390476190476
1646,25.072222279941,55.126414561542,3664.122137404581
1652,25.030771,55.155821,4583.333333333333
1657,25.071367,55.124955,1939.283305227656
1658,24.99797,55.249645,1114.1658333333332
1659,25.047331,55.203911,1134.4827586206898
1674,25.054471,55.207022,1074.074074074074
1682,25.195499,55.271766,4191.147669408539
1691,25.071367,55.124955,2503.681885125184
1692,25.12543,55.153182,2176.966292134832
1695,25.01649,55.253218,1415.525114155251
1718,25.084199905396,55.148498535156,2123.552123552124
1722,25.071367,55.124955,2328.96652110626
1726,25.072222279941,55.126414561542,4373.927958833619
1739,25.071367,55.124955,2212.389380530973
1742,25.074878,55.133678,2064.056939501779
